"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"desert-sweep-18","ywarzg85","finished","-","anna_korotkova","","2020-10-01T17:34:04.000Z","1093","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_17-34-05_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","32","32","","500","42","RTE","false","0","0.01","","1","0.5667870036101083","","","","0.6851547625329759","","","","1060.8083832263949","[1060.8083832263949]","1.6890642642974854","[2.5458943843841553,2.5477633476257324,2.46527099609375,2.61304235458374,2.6126513481140137,2.576141595840454,2.5330114364624023,2.5742785930633545,1.6890642642974854]","0.6933106625080109"
"radiant-sweep-17","ywarzg85","finished","-","anna_korotkova","","2020-10-01T17:15:12.000Z","1127","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_17-15-13_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","16","32","","500","42","RTE","false","0","0.01","","1","0.5667870036101083","","","","0.6866795420646667","","","","1091.9402809143066","[1091.9402809143066]","0.403202772140503","[1.4498248100280762,1.4679996967315674,1.4139420986175537,1.545428991317749,1.3310084342956543,1.375544548034668,1.519009351730347,1.3287100791931152,1.39508318901062,1.3757834434509275,1.483079433441162,1.5189921855926514,1.4186208248138428,1.3058345317840576,1.573197364807129,1.392932653427124,1.5874056816101074,0.403202772140503]","0.6933106625080109"
"kind-sweep-16","ywarzg85","finished","-","anna_korotkova","","2020-10-01T16:55:09.000Z","1202","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_16-55-11_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.5667870036101083","","","","0.6855265072413853","","","","1160.6359660625458","[1160.6359660625458]","0.551995038986206","[0.7405617237091064,0.7617206573486328,0.8238556385040283,0.718287467956543,0.6438419818878174,0.7796304225921631,0.7936034202575684,0.7051281929016113,0.8417952060699463,0.9053151607513428,0.7764127254486084,0.7375009059906006,0.7429366111755371,0.8303327560424805,0.6500856876373291,0.7365701198577881,0.7115709781646729,0.6981256008148193,0.8159468173980713,0.891963005065918,0.9211807250976562,0.9106192588806152,0.830064058303833,0.7162275314331055,0.7772367000579834,0.809380054473877,0.8460614681243896,0.915092945098877,0.7234246730804443,1.019625186920166,0.8359096050262451,0.7932419776916504,0.7949035167694092,0.9080133438110352,0.551995038986206]","0.6933106625080109"
"ancient-sweep-15","ywarzg85","finished","-","anna_korotkova","","2020-10-01T16:16:35.000Z","2310","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_16-16-37_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/RTE/","true","-1","32","32","","500","42","RTE","false","0","0.01","","1","0.6678700361010831","","","","0.6402072906494141","","","","2236.8870730400085","[2236.8870730400085]","4.140251398086548","[6.643080949783325,6.66548490524292,6.894258260726929,6.823187351226807,6.719212532043457,6.911667585372925,7.060834884643555,7.071218490600586,4.140251398086548]","0.6968707740306854"
"celestial-sweep-14","ywarzg85","finished","-","anna_korotkova","","2020-10-01T15:37:49.000Z","2322","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_15-37-51_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/RTE/","true","-1","16","32","","500","42","RTE","false","0","0.01","","1","0.6678700361010831","","","","0.6408790979120467","","","","2242.3909628391266","[2242.3909628391266]","1.1251351833343506","[4.047609329223633,3.944408178329468,3.920087337493897,3.6564149856567383,3.7979722023010254,3.88177752494812,3.9312376976013184,4.022508382797241,3.713087558746338,4.017979383468628,3.927650213241577,3.7647335529327393,3.9578609466552734,3.8100593090057377,3.947165489196778,3.9925551414489746,3.6983039379119873,1.1251351833343506]","0.6968707740306854"
"sleek-sweep-13","ywarzg85","finished","-","anna_korotkova","","2020-10-01T14:57:36.000Z","2408","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_14-57-37_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.6678700361010831","","","","0.6433204335825784","","","","2316.40323138237","[2316.40323138237]","1.357436180114746","[1.7666335105895996,1.7255594730377195,1.8572511672973633,2.230502128601074,2.368551015853882,1.985478162765503,2.319422721862793,2.1311697959899902,2.1031761169433594,2.172053337097168,2.189321994781494,2.3016197681427,2.0644636154174805,2.269240140914917,2.218334913253784,2.308398723602295,2.408748149871826,2.269082307815552,2.237928628921509,2.3199753761291504,2.2151196002960205,2.1411118507385254,2.242694139480591,2.332693338394165,2.2397329807281494,2.2693605422973633,2.225229263305664,2.413923740386963,2.2034735679626465,2.1790266036987305,2.1417696475982666,2.30281138420105,2.1146798133850098,2.3041043281555176,1.357436180114746]","0.6968707740306854"
"peach-sweep-12","ywarzg85","finished","-","anna_korotkova","","2020-10-01T14:52:07.000Z","322","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_14-52-08_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","32","32","","500","42","RTE","false","0","0.01","","1","0.5631768953068592","","","","0.6859734853108724","","","","306.3037865161896","[306.3037865161896]","0.3709418773651123","[0.6305050849914551,0.5821483135223389,0.645618200302124,0.6030831336975098,0.5754849910736084,0.5515081882476807,0.6357617378234863,0.593494176864624,0.3709418773651123]","0.6918422794342041"
"misunderstood-sweep-11","ywarzg85","finished","-","anna_korotkova","","2020-10-01T14:46:51.000Z","311","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_14-46-52_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","16","32","","500","42","RTE","false","0","0.01","","1","0.5631768953068592","","","","0.6870721379915873","","","","295.22159457206726","[295.22159457206726]","0.13586854934692383","[0.3221244812011719,0.28181910514831543,0.3003051280975342,0.38193225860595703,0.28635692596435547,0.2846348285675049,0.31658482551574707,0.26717519760131836,0.26616358757019043,0.3471543788909912,0.2751636505126953,0.27657127380371094,0.27887487411499023,0.3495326042175293,0.3010232448577881,0.2883615493774414,0.35830163955688477,0.13586854934692383]","0.6918422794342041"
"hearty-sweep-10","ywarzg85","finished","-","anna_korotkova","","2020-10-01T14:41:33.000Z","313","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_14-41-35_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.5631768953068592","","","","0.6863276124000549","","","","293.11297702789307","[293.11297702789307]","0.12655997276306152","[0.3090939521789551,0.1896376609802246,0.1658329963684082,0.16072821617126465,0.21876811981201172,0.18293333053588867,0.17658138275146484,0.15903377532958984,0.1620492935180664,0.1934852600097656,0.18803024291992188,0.17480087280273438,0.15685582160949707,0.17093586921691897,0.1589491367340088,0.2381153106689453,0.22903084754943848,0.16146540641784668,0.16428399085998535,0.1581120491027832,0.21377277374267575,0.16348052024841309,0.1578369140625,0.20474648475646973,0.1690821647644043,0.1847634315490723,0.2120912075042725,0.1655571460723877,0.15985703468322754,0.16910672187805176,0.1622917652130127,0.1827549934387207,0.16823697090148926,0.17137575149536133,0.12655997276306152]","0.6918422794342041"
"atomic-sweep-9","ywarzg85","finished","-","anna_korotkova","","2020-10-01T14:30:43.000Z","645","262ggx6d","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","1","false","O1","1","0.00005","-1","runs/Oct01_14-30-44_anna-gpu","false","50","1","256","-1","bert-base-cased","false","1","/tmp/RTE/","true","-1","32","32","","500","42","RTE","false","0","0.01","","1","0.6642599277978339","","","","0.6312813626395332","","","","621.1308648586273","[621.1308648586273]","1.159980297088623","[1.3124542236328125,1.2305376529693604,1.159980297088623,1.2250185012817385,1.189173936843872,1.1771974563598633,1.2213988304138184,1.3071811199188232,1.2622466087341309]","0.6982338500022888"
