"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"electric-sweep-63","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T19:16:39.000Z","14434","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_19-16-40_anna-gpu","false","1000","1","512","-1","xlnet-base-cased","false","1","/tmp/STS-B/","true","-1","32","32","","500","42","STS-B","false","0","0.01","","1","","","0.8337843249897015","","0.82825767993927","","0.8333225767781953","0.8342460732012076","13385.020058631895","[13385.020058631895]","19.205166816711422","[21.189608335494995,19.33151602745056,20.066112995147705,19.205166816711422,20.039995908737183,21.025545835494995,19.83923625946045,20.57387137413025,20.7761971950531,20.761412620544434,20.897281646728516,21.76341485977173,21.78751802444458,22.719430685043335,21.44385361671448,21.866857528686523,22.887539625167847,22.743877172470093,21.10607600212097,22.120601654052734,23.094510078430176,23.31605052947998,21.797550916671753,20.295100927352905,19.914051294326782,24.82599639892578,22.959054470062256,21.396077871322632,23.534005403518677,23.549843311309814,22.0662145614624,23.258204460144043,22.424567222595215,21.384286165237427,23.17976546287537,24.029892683029175,23.00579810142517,22.397180795669556,22.3214373588562,21.685771942138672,23.6050763130188,22.121323108673096,25.06726908683777,22.167400598526,24.884755849838257,23.408799409866333,22.21967053413391]",""
"hearty-sweep-62","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T15:13:06.000Z","14609","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_15-13-07_anna-gpu","false","1000","1","512","-1","xlnet-base-cased","false","1","/tmp/STS-B/","true","-1","16","32","","500","42","STS-B","false","0","0.01","","1","","","0.8337843251365875","","0.8302841711234539","","0.8333225770719674","0.8342460732012076","13398.457419872284","[13398.457419872284]","10.477190732955933","[12.431454420089722,12.346971035003662,12.717545986175535,12.398629903793337,12.031275987625122,12.172155857086182,12.74163007736206,11.776702880859377,12.365769386291504,12.575423955917358,13.126612424850464,13.738878965377808,13.650774240493774,12.825782299041748,13.300708532333374,12.623103857040403,12.876366376876833,13.620606184005736,13.076933145523071,13.453416109085085,13.532104969024658,12.60484004020691,13.558340072631836,13.343725442886353,13.536941051483154,13.717478275299072,12.804990530014038,13.166342735290527,12.179250001907349,12.890873908996582,13.855067729949951,12.593227863311768,12.352378606796265,12.639381885528564,12.775256395339966,13.07192039489746,12.694156885147097,13.174972772598268,13.129260778427124,13.266514778137209,13.46505618095398,12.888485431671144,13.066709518432615,13.0277259349823,13.32821488380432,12.338108777999878,12.159939050674438,12.92197060585022,11.553628206253052,12.578446865081789,11.817019939422607,11.792341709136965,12.467963457107544,11.842391729354858,12.06799817085266,11.990361213684082,12.63621997833252,12.68104887008667,12.47361969947815,12.879539012908936,13.425500392913818,13.430676460266112,12.643426418304443,13.199203491210938,13.184736013412476,11.724879264831545,12.172221660614014,12.443319082260132,12.688617467880247,13.101347923278809,12.332085847854614,12.66688585281372,12.971240043640137,12.387712478637695,13.29601788520813,13.070995807647703,12.42094111442566,12.646280765533447,13.288931846618652,13.738714933395386,13.112693548202516,13.508615016937256,11.7377827167511,12.172298669815063,11.8686842918396,13.174642324447632,12.587135076522827,13.01961064338684,12.878424882888794,12.719287633895874,11.42358899116516,13.282748222351074,12.455096244812012,10.477190732955933]",""
"fresh-sweep-61","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T11:02:21.000Z","15040","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_11-02-22_anna-gpu","false","1000","1","512","-1","xlnet-base-cased","false","1","/tmp/STS-B/","true","-1","8","32","","500","42","STS-B","false","0","0.01","","1","","","0.8337843252448489","","0.8284189706628627","","0.8333225772884904","0.8342460732012076","13565.123744010923","[13565.123744010923]","1.6047730445861816","[7.494396448135376,8.601487159729004,7.749030113220215,7.875030994415283,8.217634439468384,7.7697672843933105,8.015209913253784,7.805005311965942,7.642997741699219,8.017946243286133,8.053828001022339,7.887113332748413,8.328498363494873,7.523131847381592,8.197582960128784,7.869786977767944,7.780070781707764,8.21904444694519,7.918570041656494,7.925389528274536,7.603586435317993,8.097373723983765,7.840359210968018,7.762232542037964,7.662341594696045,7.998835563659668,7.893352270126343,8.32896614074707,7.700238227844238,7.826063871383667,7.907221794128418,7.984652519226074,7.667633533477783,8.005854606628418,7.874879360198975,7.985752820968628,7.698181867599487,7.543124914169312,7.620902299880981,7.96989107131958,8.230803966522217,7.465792179107666,7.796552658081055,7.937136888504028,7.939712285995483,7.537945032119751,7.936459064483643,7.863332748413086,7.988812685012817,7.390344619750977,8.166840553283691,7.847177743911743,8.073092460632324,7.610189199447632,7.626963376998901,7.432014226913452,7.939308404922485,7.9024658203125,7.582705020904541,7.835537910461426,7.867735147476196,8.10214900970459,7.83959436416626,7.308761358261108,7.852770090103149,7.830343723297119,7.815009117126465,7.47895359992981,7.802773714065552,7.63748836517334,7.914949417114258,7.743982791900635,7.771180868148804,7.81894063949585,7.902725458145142,7.693403482437134,7.502707719802856,8.047160625457764,7.797778367996216,7.806597948074341,7.716052293777466,7.634164333343506,7.869935512542725,7.70967173576355,7.532233715057373,8.006054401397705,7.586180210113525,8.389565706253052,7.868555545806885,7.271902322769165,7.696159839630127,7.989976644515991,7.799145221710205,7.744338035583496,7.894738435745239,7.852235317230225,7.9066383838653564,7.699563264846802,8.013452291488647,8.16773509979248,8.151265144348145,7.714662313461304,7.728712320327759,7.563490629196167,7.769538402557373,7.512750148773193,7.725525379180908,7.971494674682617,7.960855007171631,8.026176691055298,7.59414267539978,7.718159914016724,7.954669713973999,7.914805173873901,7.695496797561645,7.832614660263061,7.903685569763184,7.896522760391235,8.157546043395996,7.713742017745972,7.825935363769531,7.59531044960022,7.773344278335571,8.09893274307251,7.426357746124268,7.48962664604187,7.63861894607544,7.836105823516846,7.802132368087768,7.637855529785156,7.885381460189819,8.050630331039429,8.080755949020386,7.711384296417236,7.6032867431640625,7.847983598709107,8.061648845672607,8.247374057769775,7.811079025268555,7.811382532119751,7.103516578674316,7.733408451080322,7.7771148681640625,8.114455223083496,7.722339868545532,7.449063539505005,7.738652944564819,7.822633981704712,7.778747081756592,7.516503572463989,7.760956764221191,7.734612941741943,8.064824104309082,7.697089195251465,7.624781370162964,7.639962196350098,7.803576469421387,7.768234014511108,7.481224775314331,7.784709453582764,7.627369880676269,7.815755128860474,8.007675886154175,7.4254279136657715,7.6364357471466064,7.397757768630981,7.766471385955811,7.721610069274902,7.588056087493896,7.463840007781982,7.606152534484863,7.639478921890259,7.57218337059021,7.554654836654663,8.039621829986572,7.978112459182739,7.966216087341309,7.553681612014771,7.72939133644104,7.639923572540283,7.853069067001343,7.518841028213501,7.6679370403289795,7.754164218902588,7.819035530090332,7.575156211853027,7.571094036102295,1.6047730445861816]",""
"polar-sweep-60","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T09:40:40.000Z","4897","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_09-40-41_anna-gpu","false","1000","1","512","-1","albert-base-v1","false","1","/tmp/STS-B/","true","-1","32","32","","500","42","STS-B","false","0","0.01","","1","","","0.8823752834129492","","0.4982904874263926","","0.8835697050484541","0.8811808617774443","4741.782544136047","[4741.782544136047]","2.584389925003052","[3.158599376678467,3.0719807147979736,3.0581400394439697,3.297043800354004,3.229250192642212,3.485764503479004,2.9898834228515625,3.015422105789185,3.444464921951294,3.0854883193969727,2.9490456581115723,3.1089441776275635,3.4115192890167236,3.0065512657165527,3.2629733085632324,2.753377914428711,2.7345504760742188,3.721165180206299,2.955139398574829,2.9168734550476074,3.0323469638824463,2.7599313259124756,3.396024703979492,3.434678077697754,2.786503553390503,3.1355419158935547,3.052870750427246,3.196542501449585,2.951948642730713,3.109093189239502,3.0583651065826416,3.064659595489502,3.235953569412231,3.1425225734710693,3.137716770172119,3.029651165008545,3.5238254070281982,3.1077585220336914,2.8226256370544434,3.2250518798828125,3.0465281009674072,3.780545949935913,2.923556327819824,2.7980334758758545,3.2555618286132812,2.976405382156372,2.584389925003052]",""
"kind-sweep-59","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T08:18:21.000Z","4934","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_08-18-23_anna-gpu","false","1000","1","512","-1","albert-base-v1","false","1","/tmp/STS-B/","true","-1","16","32","","500","42","STS-B","false","0","0.01","","1","","","0.8823752831131355","","0.4996355274256239","","0.8835697044488267","0.8811808617774443","4768.778316497803","[4768.778316497803]","1.2457890510559082","[1.5729620456695557,1.3882315158843994,1.541041374206543,1.426095962524414,1.4080636501312256,1.5050387382507324,1.4929113388061523,2.071934700012207,1.6497008800506592,1.5079209804534912,1.6063511371612549,1.982208013534546,2.3906848430633545,1.677288055419922,1.9904427528381348,1.7270183563232422,1.6674132347106934,1.5505061149597168,1.4061131477355957,1.5341956615447998,1.9500813484191897,1.7968554496765137,1.4970345497131348,1.8253560066223145,1.537651777267456,1.5516691207885742,2.201228141784668,1.899658441543579,1.6577329635620115,1.5206153392791748,1.601467847824097,1.6343276500701904,1.476269006729126,1.5189452171325684,1.922130823135376,1.5966613292694092,1.5009963512420654,1.6297483444213867,1.5699543952941897,1.8264153003692627,1.5185434818267822,1.7225325107574463,1.432342290878296,1.6556155681610107,1.5730431079864502,1.692605972290039,1.9421989917755127,1.687047243118286,1.5229606628417969,1.5089502334594729,1.599471092224121,1.9339303970336912,1.655564546585083,1.6669535636901855,1.4343435764312744,1.6206188201904297,1.7737774848937988,1.6863996982574463,1.6888787746429443,1.6323251724243164,1.4407310485839844,1.5787034034729004,1.7775578498840332,1.6137657165527344,1.7022433280944824,1.7114548683166504,1.52950119972229,1.8203144073486328,1.688053846359253,1.9055168628692627,1.561164617538452,1.7134885787963867,1.5347754955291748,1.603438138961792,1.6206140518188477,1.5101840496063232,1.8335585594177248,1.587216854095459,1.5690698623657229,1.768306016921997,1.606921911239624,1.7542822360992432,1.6975905895233154,1.5607435703277588,1.4941589832305908,1.7112319469451904,1.6718933582305908,1.852076292037964,1.596022605895996,1.6299469470977783,1.4709100723266602,1.651606559753418,1.7285001277923584,1.2457890510559082]",""
"leafy-sweep-58","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T06:48:08.000Z","5407","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_06-48-09_anna-gpu","false","1000","1","512","-1","albert-base-v1","false","1","/tmp/STS-B/","true","-1","8","32","","500","42","STS-B","false","0","0.01","","1","","","0.8823752834711575","","0.497753095674388","","0.8835697051648707","0.8811808617774443","5216.495792388916","[5216.495792388916]","0.6568214893341064","[0.8145444393157959,0.697335958480835,0.7556979656219482,0.7182040214538574,0.7147397994995117,0.8166708946228027,0.8916809558868408,0.8980588912963867,1.167755365371704,0.8918173313140869,0.8099365234375,1.0767204761505127,0.9777021408081056,0.865180253982544,1.0176470279693604,0.7725214958190918,0.828080415725708,0.9360778331756592,0.9052667617797852,0.7354409694671631,0.8648238182067871,0.7688803672790527,0.8737356662750244,0.8998568058013916,0.7623381614685059,0.8539659976959229,0.9474697113037108,1.0134198665618896,0.9268817901611328,1.0830156803131104,0.9157705307006836,1.115082025527954,0.8510363101959229,1.0705723762512207,1.157067060470581,1.2947430610656738,0.94315505027771,1.2116522789001465,1.131458759307861,1.0089738368988037,1.0777983665466309,1.047299861907959,0.995668649673462,1.092787265777588,1.0551331043243408,0.9819834232330322,0.7285451889038086,1.2314109802246094,0.8926329612731934,1.2055132389068604,0.9318559169769288,1.1124980449676514,0.906912326812744,0.9298174381256104,1.231476068496704,1.1685538291931152,0.8843667507171631,1.1919171810150146,1.2212836742401123,0.8394625186920166,0.9744014739990234,0.8536691665649414,1.0042393207550049,0.9835991859436036,1.1712760925292969,0.9157142639160156,1.2769341468811035,1.0701744556427002,1.1367485523223877,0.8454482555389404,1.118145227432251,0.7979311943054199,1.1287810802459717,0.8272802829742432,0.8599357604980469,0.9970152378082277,0.8756749629974365,0.9376170635223388,1.1122801303863523,1.261239767074585,0.9679245948791504,1.172386646270752,0.8279404640197754,1.2222609519958496,1.02677321434021,0.8798561096191406,0.7741763591766357,0.7603833675384521,1.1823077201843262,0.901296854019165,0.7799208164215088,1.0096726417541504,0.8377888202667236,1.3519773483276367,0.8644490242004395,0.9053001403808594,0.8993680477142334,0.768526554107666,1.0892720222473145,0.8784563541412354,0.8530137538909912,1.0335814952850342,1.0109729766845703,1.060267210006714,0.8162000179290771,1.0183312892913818,1.1140382289886477,0.7550289630889893,0.8934326171875,0.9830112457275392,0.8641490936279297,0.9073410034179688,0.8420917987823486,0.7900586128234863,1.02490234375,0.7801706790924072,0.9249041080474854,0.8843874931335449,0.7907977104187012,0.7270321846008301,0.9775395393371582,0.9323992729187012,0.7220447063446045,0.6969616413116455,1.0194885730743408,0.9296481609344482,0.6817986965179443,0.9249980449676514,1.1080389022827148,0.8857533931732178,1.1614675521850586,0.8437490463256836,0.8977494239807129,1.033017635345459,0.9546403884887696,0.9158368110656738,1.0875678062438965,1.0196290016174316,0.998889684677124,0.9237451553344728,0.8329813480377197,0.9121763706207277,0.8591723442077637,1.0364165306091309,0.8684341907501221,0.8449132442474365,0.975278615951538,1.1283550262451172,0.984745979309082,1.1644606590270996,0.9757735729217528,0.9953618049621582,0.9557700157165528,0.8174192905426025,1.253173589706421,0.9622125625610352,1.1865170001983645,1.1413133144378662,1.0590951442718506,1.2378220558166504,0.9158413410186768,1.1058666706085205,0.808605432510376,1.465651035308838,1.1638422012329102,0.8659992218017578,1.273548603057861,0.9992752075195312,1.1781604290008545,1.144092321395874,0.8570106029510498,0.8931691646575928,1.0243704319000244,0.9652018547058104,0.9242806434631348,1.0559453964233398,0.8215353488922119,1.1879723072052002,0.7805938720703125,1.012340068817139,1.1009037494659424,1.0201773643493652,1.1563115119934082,1.0375845432281494,0.9334542751312256,0.8046936988830566,1.0247454643249512,0.6568214893341064]",""
"still-sweep-57","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T05:20:51.000Z","5233","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_05-20-52_anna-gpu","false","1000","1","512","-1","roberta-base","false","1","/tmp/STS-B/","true","-1","32","32","","500","42","STS-B","false","0","0.01","","1","","","0.8633420471300939","","0.6984012241059161","","0.8610274086627708","0.8656566855974168","5055.4100885391235","[5055.4100885391235]","2.869330406188965","[3.3261396884918213,3.8681468963623047,3.1432199478149414,3.082127571105957,3.938643455505371,2.869330406188965,3.562880039215088,3.137324571609497,3.705868005752563,2.925363779067993,3.773533821105957,3.135063648223877,3.305762529373169,3.0787460803985596,3.6171646118164062,3.207174301147461,3.209459066390991,2.9868717193603516,3.2397096157073975,2.913994789123535,3.714262008666992,3.0995264053344727,3.1520159244537354,3.0553276538848877,3.208751678466797,3.411508083343506,3.1467976570129395,4.24845814704895,3.8217246532440186,3.2449634075164795,3.2135696411132812,4.251331329345703,3.3720366954803467,3.482196569442749,3.5194807052612305,3.5229318141937256,3.5879905223846436,3.918068885803222,3.647517442703247,3.5036733150482178,3.2897143363952637,3.94327449798584,3.2074639797210693,3.53800630569458,4.239489555358887,3.347154378890991,3.1009647846221924]",""
"eternal-sweep-56","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T03:53:54.000Z","5211","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_03-53-55_anna-gpu","false","1000","1","512","-1","roberta-base","false","1","/tmp/STS-B/","true","-1","16","32","","500","42","STS-B","false","0","0.01","","1","","","0.8633420473042062","","0.7001473976576582","","0.8610274090109954","0.8656566855974168","5011.46049785614","[5011.46049785614]","1.3261618614196775","[1.6524279117584229,1.4667255878448486,1.3372952938079834,1.441112041473389,1.7300832271575928,2.285334587097168,1.4224228858947754,1.5137090682983398,2.1641132831573486,2.1491243839263916,2.3121206760406494,2.1998932361602783,2.096144676208496,2.1872572898864746,1.9523146152496336,2.016942024230957,2.140798330307007,1.963572978973389,1.770404577255249,1.9942986965179443,2.2147915363311768,1.9642488956451416,1.9215903282165527,2.03434681892395,2.370927095413208,2.23873233795166,1.8707520961761477,1.9293060302734375,1.829540491104126,1.6305060386657717,2.619503974914551,1.730247974395752,1.6191112995147705,2.0429041385650635,2.2472407817840576,2.2367019653320312,2.011804580688477,2.1771388053894043,1.9578347206115725,2.137009620666504,2.05590295791626,1.9908132553100584,2.1577818393707275,2.2050933837890625,2.2339320182800293,2.180783987045288,2.2335519790649414,1.8982417583465576,1.939558267593384,1.9155855178833008,2.005634307861328,1.8459110260009768,2.4016671180725098,2.190300464630127,2.3300445079803467,1.55082368850708,2.2586331367492676,2.0074479579925537,2.2343006134033203,2.1348822116851807,1.522122144699097,1.530024766921997,1.696068525314331,1.5910742282867432,2.083576917648315,1.8567101955413816,1.6229639053344729,2.0888962745666504,2.492370128631592,1.966370105743408,2.0739710330963135,1.695400953292847,1.8053886890411377,1.961905002593994,2.034642457962036,2.1232593059539795,1.6367294788360596,1.6729736328125,1.9082999229431152,2.196017026901245,2.0552327632904053,1.560983419418335,1.5718560218811035,2.5369105339050293,2.0747201442718506,2.3790619373321533,1.5504724979400637,1.472994089126587,1.5344395637512207,2.2074804306030273,1.8064918518066408,1.876499891281128,1.551884412765503,1.3261618614196775]",""
"gallant-sweep-55","0tu5khs1","finished","-","anna_korotkova","","2020-10-16T02:25:50.000Z","5280","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_02-25-52_anna-gpu","false","1000","1","512","-1","roberta-base","false","1","/tmp/STS-B/","true","-1","8","32","","500","42","STS-B","false","0","0.01","","1","","","0.8633420468243069","","0.6963160882129314","","0.8610274080511972","0.8656566855974168","5089.873436927795","[5089.873436927795]","0.42406272888183594","[0.8499484062194824,0.6875159740447998,0.8553423881530762,0.9202375411987304,0.8746883869171143,0.6991755962371826,0.6970798969268799,0.6971514225006104,0.753079891204834,0.653273344039917,0.9912874698638916,1.3061420917510986,0.7386248111724854,0.6538770198822021,0.7927041053771973,0.830378532409668,0.8448710441589355,0.7032973766326904,0.8304135799407959,0.7172765731811523,0.8341147899627686,1.144347906112671,0.8789634704589844,0.9198276996612548,0.866546630859375,0.931602954864502,1.1750595569610596,0.9147756099700928,0.7949740886688232,0.8242833614349365,0.833277702331543,1.1399474143981934,0.9580543041229248,0.947704553604126,0.991281032562256,0.9820883274078368,0.755070686340332,0.7272303104400635,0.8805174827575684,0.9870321750640868,1.1452291011810305,0.8852336406707764,0.7980985641479492,0.7396516799926758,1.1236836910247805,0.7525122165679932,0.8216636180877686,0.7468852996826172,0.8932406902313232,1.052663803100586,1.007582426071167,0.8255293369293213,0.7827601432800293,1.2071354389190674,0.8802917003631592,0.7573716640472412,0.7658226490020752,0.8356442451477051,1.1008388996124268,0.8337044715881348,0.763796329498291,0.8396499156951904,0.88132643699646,1.1620299816131592,0.8501255512237549,0.8211109638214111,0.8464469909667969,0.7554950714111328,1.156329870223999,0.8343873023986816,0.7023580074310303,0.8213324546813965,0.7704458236694336,1.1710355281829834,0.8562495708465576,0.8502912521362305,0.8699069023132324,1.1416678428649902,0.8665351867675781,0.885359525680542,0.8254566192626953,0.8506045341491699,0.931649923324585,1.105190992355347,0.7621395587921143,0.7177262306213379,0.9190776348114014,0.8264164924621582,1.149388551712036,0.8077387809753418,0.8752400875091553,0.8651854991912842,1.1665444374084473,1.104300022125244,0.8834564685821533,0.9408392906188964,1.0600817203521729,1.0273523330688477,0.9305951595306396,0.870671272277832,1.1623873710632324,0.8897807598114014,1.0678863525390625,0.909715175628662,1.1015398502349854,0.828012228012085,0.7507658004760742,0.8838388919830322,0.9371132850646972,1.234408617019653,0.8167264461517334,0.8921937942504883,0.9407989978790284,0.8565359115600586,1.213803768157959,0.7499139308929443,0.74576735496521,0.7955236434936523,1.1185295581817627,1.0589005947113037,0.9361128807067872,1.0534698963165283,1.259227991104126,1.035175323486328,0.8218050003051758,1.2107813358306885,0.76381516456604,0.7405011653900146,0.8872504234313965,0.9525198936462402,1.020632266998291,0.8748834133148193,0.7858860492706299,0.8033745288848877,1.2614586353302002,1.0492782592773438,0.9251115322113036,0.8271856307983398,1.2364897727966309,0.9106152057647704,0.9999063014984132,0.7460741996765137,1.4429585933685305,0.927194356918335,0.8184177875518799,0.9598324298858644,0.9576942920684814,0.8067600727081299,0.9219510555267334,1.2934439182281494,0.9171853065490724,0.9373884201049804,0.852719783782959,1.1349732875823977,0.8597700595855713,0.83174729347229,0.8667571544647217,0.9033310413360596,1.170932054519653,0.804513692855835,1.0034799575805664,0.8590521812438965,1.1282644271850586,1.080146312713623,0.8974931240081787,0.907376766204834,1.2891066074371338,1.003816843032837,0.8673832416534424,1.2808854579925537,0.9226582050323486,0.9789018630981444,1.1492667198181152,0.9366521835327148,0.796682596206665,0.9573545455932616,0.983680009841919,0.8235154151916504,0.7201731204986572,0.7909719944000244,1.1906328201293943,0.7991023063659668,0.889413595199585,0.8844249248504639,0.8599183559417725,1.1466083526611328,0.891340970993042,0.42406272888183594]",""
"laced-sweep-54","0tu5khs1","failed","-","anna_korotkova","","2020-10-16T02:25:40.000Z","8","h2nfetdd","[""cpu"",0]","0.000001","/home/ubuntu/STS-B","false","false","true","false","true","1000","true","1","false","O1","1","0.00002","-1","runs/Oct16_02-25-41_anna-gpu","false","1000","1","512","-1","distilbert-base-cased","false","1","/tmp/STS-B/","true","-1","32","32","","500","42","STS-B","false","0","0.01","","","","","","","","","","","","","","",""
