"Name","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_loss","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss","eval_acc_and_f1","eval_corr","eval_f1","eval_mcc","eval_pearson","eval_spearmanr"
"genial-sweep-45","finished","-","anna_korotkova","","2020-08-02T09:54:05.000Z","29607","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug02_09-54-07_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.5703971119133574","0.6802924496786935","5722.656490564346","[5722.656490564346,5794.506454706192,5833.606500148773,5878.6398866176605,6060.7582223415375]","1.4817781448364258","[8.962891340255737,8.904890775680542,9.504831552505491,9.189239978790283,9.468816041946411,9.270256996154783,9.317703008651732,9.442980766296388,9.236732959747314,9.358442068099976,9.353561401367188,8.439528942108154,8.34056568145752,9.39372444152832,9.016098260879517,8.97512412071228,8.768440008163452,8.867535829544067,9.21786117553711,8.723739385604858,8.417160034179688,7.965611219406128,7.98590874671936,8.392827987670898,8.442697525024414,9.09659194946289,8.860358476638794,8.721399545669556,8.496207475662231,8.63402009010315,9.2637300491333,8.640625476837158,8.491714239120483,8.79950761795044,1.4817781448364258]","0.5211741161346436","","","","","",""
"woven-sweep-44","finished","-","anna_korotkova","","2020-08-02T02:13:53.000Z","27605","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug02_02-13-54_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/RTE/","true","-1","8","16","","500","42","RTE","false","0","0.01","","1","0.6389891696750902","0.6402864890439169","5387.580598831177","[5687.879673242569,5447.817379951477,5407.565269708633,5387.580598831177,5408.800839185715]","1.542426824569702","[7.492891788482666,7.247292280197144,7.391687870025635,7.532394170761108,7.343814611434936,7.311316013336182,7.415820598602295,7.483554601669312,7.444274425506592,7.357501745223999,7.44689416885376,7.220892667770386,7.373307466506958,7.462755441665649,7.527662992477417,7.446041107177734,7.636234998703003,7.503680944442749,7.54073691368103,7.543596982955933,7.514218807220459,7.197009325027466,7.508795022964477,7.274397373199463,7.420297145843506,7.364671468734741,7.06096076965332,7.4252471923828125,7.175277233123779,7.479424953460693,7.0146660804748535,7.2589874267578125,7.3006696701049805,7.198160171508789,1.542426824569702]","0.6460443830490112","","","","","",""
"zany-sweep-43","finished","-","anna_korotkova","","2020-08-01T16:43:36.000Z","34214","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_16-43-37_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/RTE/","true","-1","8","8","","500","42","RTE","false","0","0.01","","1","0.5379061371841155","0.6898051602499825","6667.964992046356","[6667.964992046356,6810.8962225914,6741.611685991287,6972.604430675507,6757.063389778137]","1.4244134426116943","[7.381500244140625,7.03728461265564,7.1315977573394775,6.961969375610352,7.245834589004517,7.481147050857544,7.19983696937561,7.04997181892395,7.33079981803894,7.423032760620117,7.144782781600952,7.278228759765625,6.98625636100769,7.344103813171387,7.430231332778931,7.3949034214019775,7.097307205200195,7.239619970321655,7.246473789215088,7.35942268371582,7.218029499053955,7.263425827026367,7.306916952133179,7.199155569076538,7.541311740875244,7.1083290576934814,7.232629060745239,7.264571666717529,7.205999135971069,7.206729412078857,7.2066662311553955,7.30936598777771,7.08921217918396,7.311955451965332,1.4912946224212646,7.128085613250732,7.16065788269043,7.231649160385132,7.400365829467773,7.213649749755859,7.338168144226074,7.266129970550537,7.067715644836426,7.253220319747925,7.047078847885132,7.353612184524536,7.200371503829956,7.366934776306152,7.488444089889526,7.217996835708618,7.168331623077393,7.342748165130615,7.309285640716553,7.259966850280762,7.141743183135986,7.284844875335693,7.105332374572754,7.193970680236816,7.217421770095825,7.1045615673065186,7.386885166168213,7.203874349594116,7.24822473526001,7.113889455795288,7.336756706237793,7.565053462982178,7.511605978012085,7.390459060668945,7.301559925079346,1.4244134426116943]","0.7013255774974823","","","","","",""
"wild-sweep-42","finished","-","anna_korotkova","","2020-08-01T13:34:51.000Z","11319","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_13-34-52_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.6462093862815884","0.6172475099563599","2037.4596571922305","[2037.4596571922305,2344.7015726566315,2290.6220977306366,2285.544445991516,2276.9372551441193]","1.3808751106262207","[1.8780913352966309,1.9442737102508545,2.0865018367767334,2.229259967803955,2.105717897415161,2.3061718940734863,2.1361474990844727,2.193885564804077,2.2504570484161377,2.2582743167877197,2.271066665649414,2.378934621810913,2.2152810096740723,1.9479470252990725,2.1174635887145996,2.1496543884277344,1.9825408458709717,2.1461381912231445,2.1687564849853516,2.236931562423706,1.945601224899292,2.0098512172698975,2.210750102996826,2.0626730918884277,1.8957386016845703,2.059546947479248,2.1679911613464355,2.1399447917938232,2.297163486480713,2.1735212802886963,2.150357484817505,2.270848035812378,2.1710853576660156,2.2144675254821777,1.3808751106262207]","0.43221166253089904","","","","","",""
"worthy-sweep-41","finished","-","anna_korotkova","","2020-08-01T11:40:47.000Z","6837","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_11-40-48_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/RTE/","true","-1","8","16","","500","42","RTE","false","0","0.01","","1","0.6678700361010831","0.6209371677466802","1348.3245961666107","[1365.830849647522,1348.3245961666107,1362.168417930603,1357.2525844573977,1367.0580537319183]","0.5715088844299316","[0.9086735248565674,0.7742633819580078,0.8121316432952881,0.7864618301391602,0.8044242858886719,0.8263635635375977,0.8278086185455322,0.746147871017456,0.7755882740020752,0.745516300201416,0.7607223987579346,0.7421481609344482,0.7279753684997559,0.8633644580841064,0.9975829124450684,0.9999375343322754,0.7592122554779053,0.7023143768310547,0.7785718441009521,0.7409646511077881,0.7939088344573975,0.7912325859069824,0.764920711517334,0.68996262550354,0.6784639358520508,0.6760556697845459,0.7590126991271973,0.8016951084136963,0.7819244861602783,0.6906318664550781,0.7115294933319092,0.8133137226104736,0.7541134357452393,0.7235496044158936,0.5715088844299316]","0.5244675767421723","","","","","",""
"easy-sweep-40","finished","-","anna_korotkova","","2020-08-01T09:30:02.000Z","7839","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_09-30-03_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/RTE/","true","-1","8","8","","500","42","RTE","false","0","0.01","","1","0.6606498194945848","0.6088550899709974","1540.342039823532","[1579.5874280929563,1565.2142300605774,1549.3274705410004,1567.1841559410095,1540.342039823532]","0.49126148223876953","[0.851618766784668,0.7473540306091309,0.7937049865722656,0.8272855281829834,0.7845587730407715,0.7743644714355469,0.7776749134063721,0.8071274757385254,0.845228910446167,0.7132351398468018,0.8298811912536621,0.7800986766815186,0.745427131652832,0.7340774536132812,0.7276520729064941,0.7410099506378174,0.7801918983459473,0.8602497577667236,0.872889518737793,0.9515902996063232,0.82293701171875,0.7390329837799072,0.6584222316741943,0.9331412315368652,0.8101189136505127,0.7904224395751953,0.7200384140014648,0.797105073928833,0.9363958835601808,0.8631687164306641,0.7160675525665283,0.8327887058258057,0.7568717002868652,0.8102788925170898,0.5923552513122559,0.7808301448822021,0.7103042602539062,0.736356258392334,0.7245945930480957,0.7318181991577148,0.7075531482696533,0.7143774032592773,0.6794469356536865,0.6963574886322021,0.7552692890167236,0.6813898086547852,0.7638301849365234,0.6907055377960205,0.7057304382324219,0.6944313049316406,0.7220919132232666,0.8391306400299072,0.7566001415252686,0.797487735748291,0.7168128490447998,0.8915159702301025,0.983022689819336,0.8081984519958496,0.7742891311645508,0.7575976848602295,0.7151064872741699,0.7452607154846191,0.845116138458252,0.6622302532196045,0.6990251541137695,0.6762027740478516,0.6855614185333252,0.7295644283294678,0.6734251976013184,0.49126148223876953]","0.5065836811065674","","","","","",""
"daily-sweep-39","finished","-","anna_korotkova","","2020-08-01T06:14:35.000Z","11725","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_06-14-36_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.6425992779783394","0.6642187135560172","2235.8650221824646","[2258.6934535503387,2235.8650221824646,2393.523049592972,2388.345150232315,2398.054586172104]","0.5765414237976074","[0.8473320007324219,0.7524728775024414,0.9893503189086914,1.004134178161621,0.9747872352600098,1.0154943466186523,0.9636096954345704,0.9767246246337892,1.2599053382873535,1.055509090423584,0.999842643737793,0.8665187358856201,0.9681758880615234,0.829993486404419,1.2184481620788574,0.8946197032928467,0.8596093654632568,0.9737160205841064,0.7773463726043701,0.8147737979888916,0.9155349731445312,0.8299391269683838,1.020480394363403,1.3757998943328855,1.155056715011597,1.021826982498169,0.8567156791687012,0.8699111938476562,1.0426547527313232,0.8577423095703125,0.8165020942687988,1.0183022022247314,1.3342764377593994,0.9152655601501464,0.5765414237976074]","0.5058074223995209","","","","","",""
"easy-sweep-38","finished","-","anna_korotkova","","2020-08-01T04:16:16.000Z","7092","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_04-16-17_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/RTE/","true","-1","8","16","","500","42","RTE","false","0","0.01","","1","0.6028880866425993","0.6677847266197204","1383.704354763031","[1452.2344007492063,1383.704354763031,1390.0265464782717,1413.604662656784,1409.6883964538574]","0.529141902923584","[0.951678991317749,0.8293566703796387,0.6926009654998779,0.6808454990386963,0.6946628093719482,0.8029580116271973,0.9378342628479004,0.7995338439941406,0.7422630786895752,0.8001372814178467,0.7316019535064697,0.7491250038146973,0.7076740264892578,0.7811782360076904,0.8426852226257324,0.8702902793884277,0.8001244068145752,0.7095663547515869,0.6803076267242432,0.6642732620239258,0.6597585678100586,0.7824244499206543,0.7494604587554932,0.8639616966247559,0.8711416721343994,0.7191963195800781,0.7178716659545898,0.7519950866699219,0.7315158843994141,0.8067286014556885,0.7947249412536621,0.7529170513153076,0.7633147239685059,0.7456521987915039,0.529141902923584]","0.6472975027561187","","","","","",""
"copper-sweep-37","finished","-","anna_korotkova","","2020-08-01T02:00:13.000Z","8158","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_02-00-15_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/RTE/","true","-1","8","8","","500","42","RTE","false","0","0.01","","1","0.4729241877256318","0.6937252691813878","1596.7192614078522","[1602.657291650772,1596.7192614078522,1599.6792414188385,1673.0352268218994,1640.6719858646393]","0.4952681064605713","[0.8301012516021729,0.8029406070709229,0.7163054943084717,0.6735615730285645,0.6549422740936279,0.6699426174163818,0.6679975986480713,0.7777683734893799,0.7292029857635498,0.7710781097412109,0.6902225017547607,0.7345833778381348,0.6780869960784912,0.7087883949279785,0.7194743156433105,0.7531740665435791,0.7249011993408203,0.6841843128204346,0.7221648693084717,0.7214982509613037,0.8061203956604004,0.6940920352935791,0.7474279403686523,0.7175912857055664,0.6951079368591309,0.6909046173095703,0.7111725807189941,0.7188396453857422,0.6875298023223877,0.7017788887023926,0.7586586475372314,0.7427523136138916,0.7350614070892334,0.7369468212127686,0.4952681064605713,0.8818867206573486,0.6893277168273926,0.6707108020782471,0.7901983261108398,0.6819784641265869,0.7308118343353271,0.6853063106536865,0.6857209205627441,0.7221400737762451,0.7182447910308838,0.7543160915374756,0.6762158870697021,0.8169732093811035,0.7292513847351074,0.7645514011383057,0.7463254928588867,0.7729165554046631,0.7375569343566895,0.6553142070770264,0.7842342853546143,0.7039496898651123,0.7302210330963135,0.7426719665527344,0.6629626750946045,0.7024953365325928,0.6562240123748779,0.8567144870758057,0.7265317440032959,0.7328011989593506,0.6628179550170898,0.7328968048095703,0.8234021663665771,0.6907455921173096,0.6761398315429688,0.5224919319152832]","0.6950826811790466","","","","","",""
"noble-sweep-36","finished","-","anna_korotkova","","2020-08-01T00:34:24.000Z","5148","b01o28w9","[""cpu"",0]","0.000001","/home/ubuntu/RTE","false","false","true","false","true","1000","true","5","false","O1","1","0.00005","-1","runs/Aug01_00-34-25_anna-gpu","false","50","1","512","-1","distilbert-base-uncased","false","1","/tmp/RTE/","true","-1","8","32","","500","42","RTE","false","0","0.01","","1","0.5667870036101083","0.6835914322308132","993.0707378387452","[1064.392126083374,1000.3985373973846,1053.6803486347198,1008.7236847877502,993.0707378387452]","0.3926117420196533","[0.4720418453216553,0.4995579719543457,0.4510986804962158,0.4242310523986816,0.46405577659606934,0.4738402366638184,0.5647814273834229,0.4403371810913086,0.5803282260894775,0.5504562854766846,0.5928752422332764,0.5556313991546631,0.5148813724517822,0.49158644676208496,0.5067794322967529,0.6142921447753906,0.5471677780151367,0.6476593017578125,0.5708038806915283,0.4614255428314209,0.49317455291748047,0.4058129787445069,0.6480090618133545,0.460101842880249,0.5022392272949219,0.5627119541168213,0.47368383407592773,0.5718705654144287,0.5432600975036621,0.5430428981781006,0.43518495559692383,0.5029270648956299,0.4812619686126709,0.4511728286743164,0.3926117420196533]","0.516423591375351","","","","","",""
